,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
12069,251922e97c0e68a8c82d421788331064f669e7948d5cf316821cda24c12d,905f98d511a6d16771b596d7,2134962,2135268,,,,,,,,
12134,f2f3f6b83a56a02363194cdaecf36ad6dde4416fb3a88ca2ccc5f3ba3b7b,905f98d511a6d16771b596d7,2135094,2155145,,,,,,,,
12135,33326b81cddfb3c4bccc8e117bc41f75875c27a8921bfce1300a4a3e5bb8,905f98d511a6d16771b596d7,2135614,2136498,,,,,,,,
12136,5e3ad9350635cdb24dc9cff39aa0b98fe9abdc8a60d51c104c07e3fec687,905f98d511a6d16771b596d7,2137099,2138226,,,,,,,,
12220,bad90f6e176521896f736bf5229f97c604728915a1ff0e6c9779b5a0648c,905f98d511a6d16771b596d7,2136185,2136903,,,,,,,,
12221,2d18ebda109d58e51f67c36145688b32890f69ee1dd9382cae27c0be87e1,905f98d511a6d16771b596d7,2157866,2158735,,,,,,,,
12482,0aec9138d2e0149c87b0b819e7ffe6991276ef746ecf92ed47a7b2fb7ccb,905f98d511a6d16771b596d7,2133801,2134284,,,,,,,,
12483,9ad2647e6cc390271a0e468e47a032f34067f17e6b9f4e786d74387e0554,905f98d511a6d16771b596d7,2136648,2206674,,,,,,,,
12484,6f8e1603be77fbd172154b2d477488d7f8e52944aee657c252d24d0a46a1,905f98d511a6d16771b596d7,2151647,2152665,,,,,,,,
12485,2126e62ecfe54c9aa434abf6b2c358b66a3c2b9454735329316b0b1dc050,905f98d511a6d16771b596d7,2153013,2153529,,,,,,,,
12486,0980f9be6079ad14c194e3d9a0784b64a0a3167ad722e29a2da7abab8ecb,905f98d511a6d16771b596d7,2156398,2165418,,,,,,,,
12487,3461631bb95f867ac077bba3a79e837cc77b5f4abec231b3edce5c6582ea,905f98d511a6d16771b596d7,2157815,2158027,,,,,,,,
12751,527d5ee9446f6842a92a3a28243f6b62beffe287a14efa2cb1b08f74cc19,905f98d511a6d16771b596d7,2130474,2132399,,,,,,,,
12780,3253329263b443c52d8c751b20712431f5bb636d46a7e4de3d8a80dbf997,905f98d511a6d16771b596d7,2095932,2132994,,,,,,,,
12781,c212e6fe93055728603bb80aa3db1c0d37761ff11cb861cbccf243474af0,905f98d511a6d16771b596d7,2133991,2134729,,,,,,,,
